,Server-RSSI,Server-Distance
0,-51.0,0.4
1,-35.0,0.4
2,-35.0,0.4
3,-34.0,0.4
4,-34.0,0.4
5,-34.0,0.4
6,-34.0,0.4
7,-35.0,0.4
8,-35.0,0.4
9,-36.0,0.4
10,-35.0,0.4
11,-35.0,0.4
12,-35.0,0.4
13,-35.0,0.4
14,-35.0,0.4
15,-35.0,0.4
16,-35.0,0.4
17,-35.0,0.4
18,-35.0,0.4
19,-35.0,0.4
20,-35.0,0.4
21,-35.0,0.4
22,-35.0,0.4
23,-35.0,0.4
24,-35.0,0.4
25,-35.0,0.4
26,-35.0,0.4
27,-35.0,0.4
28,-35.0,0.4
29,-35.0,0.4
30,-35.0,0.4
31,-35.0,0.4
32,-35.0,0.4
33,-35.0,0.4
34,-35.0,0.4
35,-35.0,0.4
36,-35.0,0.4
37,-35.0,0.4
38,-35.0,0.4
39,-35.0,0.4
40,-35.0,0.4
41,-35.0,0.4
42,-35.0,0.4
43,-35.0,0.4
44,-35.0,0.4
45,-35.0,0.4
46,-35.0,0.4
47,-35.0,0.4
48,-35.0,0.4
49,-35.0,0.4
50,-35.0,0.4
51,-35.0,0.4
52,-35.0,0.4
53,-35.0,0.4
54,-35.0,0.4
55,-35.0,0.4
56,-35.0,0.4
57,-35.0,0.4
58,-35.0,0.4
59,-35.0,0.4
60,-35.0,0.4
61,-35.0,0.4
62,-35.0,0.4
63,-35.0,0.4
64,-35.0,0.4
65,-35.0,0.4
66,-35.0,0.4
67,-35.0,0.4
68,-35.0,0.4
69,-35.0,0.4
70,-35.0,0.4
71,-35.0,0.4
72,-35.0,0.4
73,-35.0,0.4
74,-35.0,0.4
75,-35.0,0.4
76,-35.0,0.4
77,-35.0,0.4
78,-35.0,0.4
79,-35.0,0.4
80,-35.0,0.4
81,-35.0,0.4
82,-35.0,0.4
83,-35.0,0.4
84,-35.0,0.4
85,-35.0,0.4
86,-35.0,0.4
87,-35.0,0.4
88,-35.0,0.4
89,-35.0,0.4
90,-35.0,0.4
91,-35.0,0.4
92,-35.0,0.4
93,-35.0,0.4
94,-35.0,0.4
95,-35.0,0.4
96,-35.0,0.4
97,-35.0,0.4
98,-35.0,0.4
99,-35.0,0.4
100,-35.0,0.4
101,-35.0,0.4
102,-35.0,0.4
103,-35.0,0.4
104,-35.0,0.4
105,-35.0,0.4
106,-35.0,0.4
107,-35.0,0.4
108,-35.0,0.4
109,-35.0,0.4
110,-35.0,0.4
111,-35.0,0.4
112,-35.0,0.4
113,-35.0,0.4
114,-35.0,0.4
115,-35.0,0.4
116,-35.0,0.4
117,-35.0,0.4
118,-35.0,0.4
119,-35.0,0.4
120,-35.0,0.4
121,-35.0,0.4
122,-35.0,0.4
123,-35.0,0.4
124,-35.0,0.4
125,-35.0,0.4
126,-35.0,0.4
127,-35.0,0.4
128,-35.0,0.4
129,-35.0,0.4
130,-35.0,0.4
131,-35.0,0.4
132,-35.0,0.4
133,-35.0,0.4
134,-35.0,0.4
135,-35.0,0.4
136,-35.0,0.4
137,-35.0,0.4
138,-35.0,0.4
139,-35.0,0.4
