,Server-RSSI,Server-Height
0,-53.0,1.15
1,-52.0,1.15
2,-52.0,1.15
3,-52.0,1.15
4,-53.0,1.15
5,-53.0,1.15
6,-53.0,1.15
7,-53.0,1.15
8,-53.0,1.15
9,-53.0,1.15
10,-53.0,1.15
11,-53.0,1.15
12,-53.0,1.15
13,-53.0,1.15
14,-53.0,1.15
15,-53.0,1.15
16,-53.0,1.15
17,-53.0,1.15
18,-53.0,1.15
19,-53.0,1.15
20,-53.0,1.15
21,-53.0,1.15
22,-53.0,1.15
23,-53.0,1.15
24,-53.0,1.15
25,-53.0,1.15
26,-53.0,1.15
27,-53.0,1.15
28,-53.0,1.15
29,-53.0,1.15
30,-53.0,1.15
31,-53.0,1.15
32,-53.0,1.15
33,-53.0,1.15
34,-53.0,1.15
35,-53.0,1.15
36,-53.0,1.15
37,-53.0,1.15
38,-53.0,1.15
39,-53.0,1.15
40,-53.0,1.15
41,-53.0,1.15
42,-53.0,1.15
43,-53.0,1.15
44,-53.0,1.15
45,-53.0,1.15
46,-53.0,1.15
47,-53.0,1.15
48,-53.0,1.15
49,-53.0,1.15
50,-53.0,1.15
51,-53.0,1.15
52,-53.0,1.15
53,-53.0,1.15
54,-53.0,1.15
55,-53.0,1.15
56,-53.0,1.15
57,-53.0,1.15
58,-53.0,1.15
59,-53.0,1.15
60,-53.0,1.15
61,-53.0,1.15
62,-53.0,1.15
63,-53.0,1.15
64,-53.0,1.15
65,-53.0,1.15
66,-53.0,1.15
67,-53.0,1.15
68,-53.0,1.15
69,-53.0,1.15
70,-53.0,1.15
71,-53.0,1.15
72,-53.0,1.15
73,-53.0,1.15
74,-53.0,1.15
75,-53.0,1.15
76,-53.0,1.15
77,-53.0,1.15
78,-53.0,1.15
79,-53.0,1.15
80,-53.0,1.15
81,-53.0,1.15
82,-53.0,1.15
83,-53.0,1.15
84,-53.0,1.15
85,-53.0,1.15
86,-53.0,1.15
87,-53.0,1.15
88,-53.0,1.15
89,-53.0,1.15
90,-53.0,1.15
91,-53.0,1.15
92,-53.0,1.15
93,-53.0,1.15
94,-53.0,1.15
95,-53.0,1.15
96,-53.0,1.15
97,-53.0,1.15
98,-53.0,1.15
99,-53.0,1.15
100,-52.0,1.15
101,-52.0,1.15
102,-53.0,1.15
103,-53.0,1.15
104,-53.0,1.15
105,-53.0,1.15
106,-53.0,1.15
107,-53.0,1.15
108,-53.0,1.15
109,-53.0,1.15
110,-53.0,1.15
111,-53.0,1.15
112,-53.0,1.15
113,-53.0,1.15
114,-53.0,1.15
115,-53.0,1.15
116,-53.0,1.15
117,-53.0,1.15
118,-53.0,1.15
119,-53.0,1.15
120,-53.0,1.15
121,-53.0,1.15
122,-54.0,1.15
123,-54.0,1.15
124,-54.0,1.15
125,-54.0,1.15
126,-54.0,1.15
127,-54.0,1.15
128,-54.0,1.15
129,-54.0,1.15
130,-54.0,1.15
131,-54.0,1.15
132,-55.0,1.15
133,-54.0,1.15
134,-54.0,1.15
135,-54.0,1.15
136,-54.0,1.15
137,-54.0,1.15
138,-54.0,1.15
139,-57.0,1.15
140,-57.0,1.15
141,-54.0,1.15
142,-54.0,1.15
143,-55.0,1.15
144,-54.0,1.15
145,-54.0,1.15
146,-54.0,1.15
147,-54.0,1.15
148,-54.0,1.15
149,-54.0,1.15
150,-54.0,1.15
151,-54.0,1.15
152,-54.0,1.15
153,-54.0,1.15
154,-54.0,1.15
155,-54.0,1.15
156,-54.0,1.15
157,-54.0,1.15
158,-54.0,1.15
159,-54.0,1.15
160,-54.0,1.15
161,-54.0,1.15
162,-54.0,1.15
163,-54.0,1.15
164,-54.0,1.15
165,-54.0,1.15
166,-54.0,1.15
167,-54.0,1.15
168,-54.0,1.15
169,-54.0,1.15
170,-54.0,1.15
171,-54.0,1.15
172,-54.0,1.15
173,-54.0,1.15
174,-54.0,1.15
175,-54.0,1.15
176,-54.0,1.15
177,-54.0,1.15
178,-54.0,1.15
179,-54.0,1.15
180,-54.0,1.15
181,-54.0,1.15
182,-54.0,1.15
183,-54.0,1.15
184,-54.0,1.15
185,-54.0,1.15
186,-54.0,1.15
187,-54.0,1.15
188,-54.0,1.15
189,-54.0,1.15
190,-54.0,1.15
191,-54.0,1.15
192,-54.0,1.15
193,-54.0,1.15
194,-54.0,1.15
195,-54.0,1.15
196,-54.0,1.15
197,-54.0,1.15
198,-54.0,1.15
199,-54.0,1.15
200,-58.0,0.92
201,-60.0,0.92
202,-61.0,0.92
203,-61.0,0.92
204,-60.0,0.92
205,-60.0,0.92
206,-61.0,0.92
207,-60.0,0.92
208,-60.0,0.92
209,-59.0,0.92
210,-59.0,0.92
211,-59.0,0.92
212,-60.0,0.92
213,-60.0,0.92
214,-60.0,0.92
215,-60.0,0.92
216,-60.0,0.92
217,-60.0,0.92
218,-61.0,0.92
219,-61.0,0.92
220,-61.0,0.92
221,-61.0,0.92
222,-61.0,0.92
223,-61.0,0.92
224,-61.0,0.92
225,-61.0,0.92
226,-61.0,0.92
227,-60.0,0.92
228,-61.0,0.92
229,-60.0,0.92
230,-60.0,0.92
231,-60.0,0.92
232,-60.0,0.92
233,-60.0,0.92
234,-60.0,0.92
235,-60.0,0.92
236,-60.0,0.92
237,-60.0,0.92
238,-60.0,0.92
239,-60.0,0.92
240,-59.0,0.92
241,-60.0,0.92
242,-60.0,0.92
243,-60.0,0.92
244,-60.0,0.92
245,-60.0,0.92
