,Server-RSSI-1,Server-RSSI-2,Server-RSSI-3,Square,Point
0,-70,-49,-62,s8,0
1,-62,-46,-59,s8,0
2,-62,-46,-59,s8,0
3,-62,-46,-58,s8,0
4,-62,-46,-58,s8,0
5,-62,-46,-59,s8,0
6,-62,-46,-58,s8,0
7,-62,-46,-58,s8,0
8,-62,-46,-58,s8,0
9,-62,-46,-58,s8,0
10,-61,-46,-58,s8,0
11,-61,-46,-58,s8,0
12,-62,-46,-58,s8,0
13,-62,-46,-59,s8,0
14,-62,-46,-58,s8,0
15,-62,-46,-58,s8,0
16,-63,-46,-58,s8,0
17,-62,-46,-58,s8,0
18,-62,-46,-59,s8,0
19,-62,-46,-58,s8,0
20,-62,-46,-58,s8,0
21,-62,-46,-59,s8,0
22,-62,-46,-58,s8,0
23,-62,-46,-57,s8,0
24,-62,-46,-57,s8,0
25,-62,-46,-59,s8,0
26,-61,-46,-59,s8,0
27,-62,-46,-58,s8,0
28,-62,-46,-59,s8,0
29,-62,-46,-58,s8,0
30,-62,-46,-58,s8,0
31,-62,-46,-58,s8,0
32,-62,-46,-59,s8,0
33,-61,-46,-59,s8,0
34,-61,-46,-58,s8,0
35,-61,-46,-59,s8,0
36,-61,-46,-58,s8,0
37,-62,-46,-58,s8,0
38,-62,-46,-58,s8,0
39,-62,-46,-58,s8,0
40,-62,-46,-58,s8,0
41,-62,-46,-59,s8,0
42,-62,-46,-58,s8,0
43,-62,-46,-58,s8,0
44,-63,-46,-58,s8,0
45,-62,-46,-58,s8,0
46,-62,-46,-58,s8,0
47,-62,-46,-58,s8,0
48,-62,-46,-58,s8,0
49,-62,-46,-58,s8,0
50,-62,-46,-58,s8,0
51,-62,-46,-58,s8,0
52,-62,-46,-58,s8,0
53,-62,-46,-58,s8,0
54,-62,-46,-58,s8,0
55,-62,-46,-58,s8,0
56,-62,-46,-58,s8,0
57,-62,-46,-58,s8,0
58,-62,-46,-58,s8,0
59,-62,-46,-58,s8,0
60,-63,-46,-58,s8,0
61,-63,-46,-58,s8,0
62,-62,-46,-58,s8,0
63,-62,-46,-58,s8,0
64,-62,-46,-58,s8,0
65,-62,-46,-58,s8,0
66,-62,-46,-58,s8,0
67,-62,-46,-58,s8,0
68,-62,-46,-58,s8,0
69,-62,-46,-58,s8,0
70,-62,-46,-58,s8,0
71,-62,-46,-58,s8,0
72,-62,-46,-58,s8,0
73,-62,-46,-58,s8,0
74,-62,-46,-58,s8,0
75,-62,-46,-58,s8,0
76,-62,-46,-58,s8,0
77,-62,-46,-58,s8,0
78,-62,-46,-58,s8,0
79,-62,-46,-58,s8,0
80,-62,-46,-58,s8,0
81,-62,-46,-58,s8,0
82,-62,-46,-58,s8,0
83,-62,-46,-58,s8,0
84,-62,-46,-58,s8,0
85,-62,-46,-58,s8,0
86,-62,-46,-58,s8,0
87,-62,-46,-58,s8,0
88,-62,-46,-58,s8,0
89,-62,-46,-58,s8,0
90,-62,-46,-58,s8,0
91,-62,-46,-58,s8,0
92,-62,-46,-58,s8,0
93,-62,-46,-58,s8,0
94,-62,-46,-58,s8,0
95,-62,-46,-58,s8,0
96,-62,-46,-58,s8,0
97,-62,-46,-58,s8,0
98,-62,-46,-58,s8,0
99,-62,-46,-58,s8,0
100,-62,-46,-58,s8,0
101,-62,-46,-58,s8,0
102,-62,-46,-58,s8,0
103,-62,-46,-58,s8,0
104,-62,-46,-58,s8,0
105,-62,-46,-58,s8,0
106,-62,-46,-58,s8,0
107,-62,-46,-58,s8,0
108,-62,-46,-58,s8,0
109,-62,-46,-58,s8,0
110,-62,-46,-58,s8,0
111,-62,-46,-58,s8,0
112,-62,-46,-58,s8,0
113,-62,-46,-58,s8,0
114,-62,-46,-58,s8,0
115,-62,-46,-58,s8,0
116,-62,-46,-58,s8,0
117,-62,-46,-58,s8,0
118,-62,-46,-58,s8,0
119,-62,-46,-58,s8,0
120,-62,-46,-58,s8,0
121,-62,-46,-58,s8,0
122,-62,-46,-58,s8,0
123,-62,-46,-58,s8,0
124,-62,-46,-58,s8,0
125,-62,-46,-58,s8,0
126,-62,-46,-58,s8,0
127,-62,-46,-58,s8,0
128,-62,-46,-58,s8,0
129,-62,-46,-58,s8,0
130,-62,-46,-58,s8,0
131,-62,-46,-58,s8,0
132,-62,-46,-58,s8,0
133,-62,-46,-58,s8,0
134,-62,-46,-58,s8,0
135,-62,-46,-58,s8,0
136,-62,-46,-58,s8,0
137,-62,-46,-58,s8,0
138,-62,-46,-58,s8,0
139,-62,-46,-58,s8,0
140,-62,-46,-58,s8,0
141,-62,-46,-58,s8,0
142,-62,-46,-58,s8,0
143,-62,-46,-58,s8,0
144,-62,-46,-58,s8,0
145,-62,-46,-58,s8,0
146,-62,-46,-58,s8,0
147,-62,-46,-58,s8,0
148,-62,-46,-58,s8,0
149,-62,-46,-58,s8,0
150,-62,-46,-58,s8,0
