,Server-RSSI-1,Server-RSSI-2,Server-RSSI-3,Server-RSSI-4,Server-RSSI-5,Square,Point,Orientation
0,-55,-71,-69,-57,-58,s0,0,0.0
1,-57,-64,-58,-48,-58,s0,0,0.0
2,-57,-64,-58,-48,-58,s0,0,0.0
3,-57,-64,-57,-48,-58,s0,0,0.0
4,-57,-65,-57,-48,-58,s0,0,0.0
5,-57,-65,-57,-48,-58,s0,0,0.0
6,-57,-66,-57,-48,-58,s0,0,0.0
7,-57,-66,-57,-48,-58,s0,0,0.0
8,-57,-65,-57,-48,-58,s0,0,0.0
9,-57,-66,-57,-48,-57,s0,0,0.0
10,-57,-66,-57,-48,-57,s0,0,0.0
11,-57,-66,-57,-47,-57,s0,0,0.0
12,-57,-65,-57,-47,-57,s0,0,0.0
13,-57,-66,-56,-47,-57,s0,0,0.0
14,-57,-65,-57,-48,-58,s0,0,0.0
15,-57,-65,-57,-48,-59,s0,0,0.0
16,-57,-65,-57,-48,-58,s0,0,0.0
17,-57,-65,-57,-48,-57,s0,0,0.0
18,-57,-66,-57,-48,-58,s0,0,0.0
19,-57,-67,-57,-48,-57,s0,0,0.0
20,-57,-67,-57,-48,-58,s0,0,0.0
21,-57,-66,-57,-48,-57,s0,0,0.0
22,-57,-67,-57,-48,-58,s0,0,0.0
23,-57,-65,-57,-47,-58,s0,0,0.0
24,-57,-66,-57,-48,-57,s0,0,0.0
25,-57,-66,-57,-48,-57,s0,0,0.0
26,-57,-66,-57,-47,-57,s0,0,0.0
27,-57,-66,-57,-47,-57,s0,0,0.0
28,-57,-65,-57,-48,-59,s0,0,0.0
29,-57,-65,-57,-48,-58,s0,0,0.0
30,-57,-65,-57,-48,-58,s0,0,0.0
31,-57,-66,-57,-48,-59,s0,0,0.0
32,-57,-65,-57,-48,-62,s0,0,0.0
33,-57,-66,-57,-47,-62,s0,0,0.0
34,-57,-66,-57,-47,-59,s0,0,0.0
35,-57,-65,-57,-47,-59,s0,0,0.0
36,-57,-65,-57,-47,-60,s0,0,0.0
37,-57,-66,-57,-47,-59,s0,0,0.0
38,-57,-67,-57,-47,-58,s0,0,0.0
39,-57,-65,-57,-48,-58,s0,0,0.0
40,-57,-65,-57,-48,-59,s0,0,0.0
41,-57,-66,-57,-48,-59,s0,0,0.0
42,-57,-67,-57,-48,-60,s0,0,0.0
43,-57,-67,-57,-47,-60,s0,0,0.0
44,-57,-67,-56,-48,-59,s0,0,0.0
45,-57,-67,-57,-47,-59,s0,0,0.0
46,-57,-65,-57,-48,-59,s0,0,0.0
47,-57,-67,-57,-47,-59,s0,0,0.0
48,-57,-65,-57,-47,-58,s0,0,0.0
49,-57,-66,-57,-47,-59,s0,0,0.0
50,-57,-66,-56,-47,-57,s0,0,0.0
51,-57,-66,-57,-47,-59,s0,0,0.0
52,-57,-64,-56,-48,-59,s0,0,0.0
53,-57,-65,-57,-48,-58,s0,0,0.0
54,-57,-65,-57,-48,-58,s0,0,0.0
55,-57,-66,-56,-48,-58,s0,0,0.0
56,-57,-64,-57,-47,-58,s0,0,0.0
57,-57,-65,-57,-47,-58,s0,0,0.0
58,-57,-65,-57,-48,-57,s0,0,0.0
59,-57,-66,-57,-47,-58,s0,0,0.0
60,-57,-65,-57,-47,-58,s0,0,0.0
61,-57,-64,-57,-48,-59,s0,0,0.0
62,-57,-64,-57,-47,-59,s0,0,0.0
63,-57,-66,-57,-48,-59,s0,0,0.0
64,-57,-66,-57,-47,-58,s0,0,0.0
65,-57,-65,-57,-48,-59,s0,0,0.0
66,-57,-65,-56,-48,-58,s0,0,0.0
67,-57,-65,-57,-48,-58,s0,0,0.0
68,-57,-65,-57,-47,-58,s0,0,0.0
69,-57,-65,-57,-47,-59,s0,0,0.0
70,-57,-66,-57,-47,-59,s0,0,0.0
71,-57,-66,-57,-47,-58,s0,0,0.0
72,-57,-66,-57,-48,-59,s0,0,0.0
73,-57,-66,-57,-48,-59,s0,0,0.0
74,-57,-65,-57,-48,-59,s0,0,0.0
75,-57,-65,-57,-48,-61,s0,0,0.0
76,-57,-67,-57,-48,-61,s0,0,0.0
77,-57,-67,-57,-48,-59,s0,0,0.0
78,-57,-67,-57,-48,-60,s0,0,0.0
79,-57,-67,-57,-48,-60,s0,0,0.0
80,-57,-66,-57,-48,-60,s0,0,0.0
81,-57,-67,-56,-48,-60,s0,0,0.0
82,-57,-66,-57,-48,-59,s0,0,0.0
83,-57,-66,-56,-48,-60,s0,0,0.0
84,-57,-67,-57,-48,-60,s0,0,0.0
85,-57,-66,-57,-48,-59,s0,0,0.0
86,-57,-66,-57,-48,-60,s0,0,0.0
87,-57,-66,-57,-48,-60,s0,0,0.0
88,-57,-66,-57,-48,-59,s0,0,0.0
89,-57,-67,-56,-48,-59,s0,0,0.0
90,-57,-67,-56,-48,-59,s0,0,0.0
91,-57,-67,-56,-48,-60,s0,0,0.0
92,-57,-66,-56,-48,-60,s0,0,0.0
93,-57,-66,-56,-48,-59,s0,0,0.0
94,-57,-67,-56,-48,-60,s0,0,0.0
95,-57,-66,-56,-48,-60,s0,0,0.0
96,-57,-66,-57,-48,-59,s0,0,0.0
97,-57,-66,-57,-48,-59,s0,0,0.0
98,-57,-66,-57,-47,-59,s0,0,0.0
99,-57,-66,-57,-48,-59,s0,0,0.0
0,-55,-58,-72,-50,-61,s0,1,1.0
1,-51,-65,-59,-47,-54,s0,1,1.0
2,-51,-64,-59,-47,-54,s0,1,1.0
3,-51,-64,-58,-47,-54,s0,1,1.0
4,-51,-64,-59,-47,-55,s0,1,1.0
5,-51,-65,-58,-47,-55,s0,1,1.0
6,-51,-66,-58,-47,-54,s0,1,1.0
7,-51,-65,-58,-47,-56,s0,1,1.0
8,-51,-65,-58,-47,-55,s0,1,1.0
9,-50,-66,-58,-47,-55,s0,1,1.0
