,Server-RSSI-1,Server-RSSI-2,Server-Distance-1,Server-Distance-2
0,-38,-74,0.4,3.6
1,-51,-67,0.4,3.6
2,-48,-68,0.4,3.6
3,-48,-79,0.4,3.6
4,-53,-71,0.4,3.6
5,-37,-71,0.4,3.6
6,-37,-77,0.4,3.6
7,-37,-64,0.4,3.6
8,-37,-66,0.4,3.6
9,-40,-66,0.4,3.6
10,-40,-65,0.4,3.6
11,-38,-65,0.4,3.6
12,-38,-66,0.4,3.6
13,-40,-66,0.4,3.6
14,-40,-65,0.4,3.6
15,-40,-65,0.4,3.6
16,-40,-64,0.4,3.6
17,-37,-64,0.4,3.6
18,-37,-65,0.4,3.6
19,-40,-65,0.4,3.6
20,-40,-64,0.4,3.6
21,-37,-63,0.4,3.6
22,-37,-63,0.4,3.6
23,-43,-63,0.4,3.6
24,-40,-76,0.4,3.6
25,-43,-66,0.4,3.6
26,-35,-66,0.4,3.6
27,-35,-76,0.4,3.6
28,-35,-65,0.4,3.6
29,-35,-65,0.4,3.6
30,-34,-65,0.4,3.6
31,-43,-65,0.4,3.6
32,-43,-65,0.4,3.6
33,-36,-65,0.4,3.6
34,-43,-65,0.4,3.6
35,-44,-65,0.4,3.6
36,-34,-65,0.4,3.6
37,-34,-76,0.4,3.6
38,-44,-76,0.4,3.6
39,-44,-65,0.4,3.6
40,-34,-65,0.4,3.6
41,-34,-75,0.4,3.6
42,-36,-63,0.4,3.6
43,-36,-65,0.4,3.6
44,-34,-65,0.4,3.6
45,-34,-75,0.4,3.6
46,-44,-75,0.4,3.6
47,-44,-65,0.4,3.6
48,-35,-65,0.4,3.6
49,-35,-75,0.4,3.6
50,-35,-75,0.4,3.6
51,-45,-63,0.4,3.6
52,-45,-63,0.4,3.6
53,-45,-64,0.4,3.6
54,-35,-65,0.4,3.6
55,-35,-77,0.4,3.6
56,-35,-64,0.4,3.6
57,-35,-65,0.4,3.6
58,-35,-77,0.4,3.6
59,-35,-64,0.4,3.6
60,-35,-64,0.4,3.6
61,-35,-76,0.4,3.6
62,-44,-76,0.4,3.6
63,-35,-64,0.4,3.6
64,-35,-64,0.4,3.6
65,-44,-64,0.4,3.6
66,-45,-76,0.4,3.6
67,-44,-64,0.4,3.6
68,-45,-64,0.4,3.6
69,-45,-65,0.4,3.6
70,-35,-65,0.4,3.6
71,-35,-64,0.4,3.6
72,-45,-64,0.4,3.6
73,-45,-65,0.4,3.6
74,-35,-65,0.4,3.6
75,-34,-63,0.4,3.6
76,-45,-63,0.4,3.6
77,-45,-65,0.4,3.6
78,-37,-65,0.4,3.6
79,-37,-62,0.4,3.6
80,-44,-62,0.4,3.6
81,-45,-62,0.4,3.6
82,-44,-62,0.4,3.6
83,-44,-64,0.4,3.6
84,-36,-64,0.4,3.6
85,-36,-61,0.4,3.6
86,-45,-61,0.4,3.6
87,-45,-73,0.4,3.6
88,-45,-61,0.4,3.6
89,-45,-61,0.4,3.6
90,-45,-73,0.4,3.6
91,-45,-64,0.4,3.6
92,-45,-64,0.4,3.6
93,-45,-64,0.4,3.6
94,-35,-64,0.4,3.6
95,-35,-73,0.4,3.6
96,-35,-64,0.4,3.6
97,-35,-65,0.4,3.6
98,-35,-74,0.4,3.6
99,-35,-64,0.4,3.6
100,-35,-65,0.4,3.6
101,-35,-74,0.4,3.6
102,-45,-74,0.4,3.6
103,-35,-65,0.4,3.6
104,-35,-65,0.4,3.6
105,-35,-74,0.4,3.6
106,-45,-74,0.4,3.6
107,-45,-65,0.4,3.6
108,-35,-65,0.4,3.6
109,-35,-73,0.4,3.6
110,-45,-65,0.4,3.6
111,-45,-65,0.4,3.6
112,-45,-73,0.4,3.6
113,-45,-65,0.4,3.6
114,-37,-65,0.4,3.6
115,-37,-73,0.4,3.6
116,-37,-72,0.4,3.6
117,-37,-61,0.4,3.6
118,-45,-61,0.4,3.6
119,-45,-65,0.4,3.6
120,-35,-65,0.4,3.6
121,-35,-73,0.4,3.6
122,-45,-64,0.4,3.6
123,-35,-65,0.4,3.6
124,-35,-73,0.4,3.6
125,-35,-65,0.4,3.6
126,-37,-65,0.4,3.6
127,-37,-61,0.4,3.6
128,-45,-61,0.4,3.6
129,-45,-62,0.4,3.6
130,-37,-62,0.4,3.6
131,-35,-74,0.4,3.6
132,-35,-63,0.4,3.6
133,-45,-63,0.4,3.6
134,-45,-75,0.4,3.6
135,-35,-64,0.4,3.6
136,-35,-65,0.4,3.6
137,-35,-64,0.4,3.6
138,-45,-64,0.4,3.6
139,-45,-64,0.4,3.6
140,-35,-65,0.4,3.6
141,-35,-74,0.4,3.6
142,-35,-64,0.4,3.6
143,-35,-64,0.4,3.6
144,-35,-63,0.4,3.6
145,-45,-63,0.4,3.6
146,-45,-65,0.4,3.6
147,-37,-63,0.4,3.6
148,-44,-63,0.4,3.6
149,-45,-65,0.4,3.6
150,-35,-65,0.4,3.6
151,-35,-63,0.4,3.6
152,-44,-63,0.4,3.6
153,-44,-63,0.4,3.6
154,-44,-63,0.4,3.6
155,-45,-63,0.4,3.6
156,-45,-62,0.4,3.6
157,-45,-65,0.4,3.6
158,-45,-65,0.4,3.6
159,-45,-65,0.4,3.6
160,-35,-65,0.4,3.6
161,-35,-72,0.4,3.6
162,-45,-72,0.4,3.6
163,-35,-64,0.4,3.6
164,-35,-65,0.4,3.6
165,-35,-72,0.4,3.6
166,-45,-72,0.4,3.6
167,-45,-64,0.4,3.6
168,-35,-65,0.4,3.6
169,-35,-72,0.4,3.6
170,-35,-73,0.4,3.6
171,-35,-65,0.4,3.6
172,-35,-65,0.4,3.6
173,-35,-63,0.4,3.6
174,-45,-63,0.4,3.6
175,-45,-63,0.4,3.6
176,-37,-63,0.4,3.6
177,-37,-65,0.4,3.6
178,-45,-65,0.4,3.6
179,-45,-73,0.4,3.6
180,-45,-63,0.4,3.6
181,-35,-63,0.4,3.6
182,-35,-73,0.4,3.6
183,-35,-65,0.4,3.6
184,-35,-65,0.4,3.6
185,-35,-73,0.4,3.6
186,-35,-64,0.4,3.6
187,-35,-65,0.4,3.6
188,-35,-73,0.4,3.6
189,-45,-73,0.4,3.6
190,-35,-65,0.4,3.6
191,-35,-65,0.4,3.6
192,-35,-74,0.4,3.6
193,-35,-74,0.4,3.6
194,-37,-64,0.4,3.6
195,-37,-74,0.4,3.6
196,-37,-74,0.4,3.6
197,-37,-65,0.4,3.6
198,-35,-65,0.4,3.6
199,-35,-73,0.4,3.6
200,-35,-60,0.8,3.2
201,-44,-65,0.8,3.2
202,-34,-65,0.8,3.2
203,-34,-61,0.8,3.2
204,-35,-61,0.8,3.2
205,-35,-63,0.8,3.2
206,-45,-63,0.8,3.2
207,-45,-68,0.8,3.2
208,-35,-68,0.8,3.2
209,-35,-77,0.8,3.2
210,-35,-68,0.8,3.2
211,-36,-68,0.8,3.2
212,-36,-67,0.8,3.2
213,-46,-67,0.8,3.2
214,-46,-76,0.8,3.2
215,-36,-76,0.8,3.2
216,-36,-67,0.8,3.2
217,-47,-67,0.8,3.2
218,-46,-69,0.8,3.2
219,-35,-69,0.8,3.2
220,-35,-69,0.8,3.2
221,-46,-69,0.8,3.2
222,-46,-76,0.8,3.2
223,-35,-75,0.8,3.2
224,-35,-67,0.8,3.2
225,-46,-67,0.8,3.2
226,-46,-69,0.8,3.2
227,-35,-68,0.8,3.2
228,-35,-75,0.8,3.2
229,-35,-68,0.8,3.2
230,-36,-68,0.8,3.2
231,-36,-67,0.8,3.2
232,-46,-67,0.8,3.2
233,-46,-69,0.8,3.2
234,-35,-69,0.8,3.2
235,-35,-75,0.8,3.2
236,-35,-69,0.8,3.2
237,-35,-69,0.8,3.2
238,-35,-76,0.8,3.2
239,-35,-69,0.8,3.2
240,-35,-69,0.8,3.2
241,-35,-76,0.8,3.2
242,-46,-75,0.8,3.2
243,-35,-67,0.8,3.2
244,-35,-67,0.8,3.2
245,-36,-67,0.8,3.2
246,-36,-75,0.8,3.2
247,-36,-75,0.8,3.2
248,-36,-69,0.8,3.2
249,-35,-69,0.8,3.2
250,-35,-74,0.8,3.2
251,-35,-69,0.8,3.2
252,-46,-69,0.8,3.2
253,-46,-69,0.8,3.2
254,-35,-69,0.8,3.2
255,-35,-67,0.8,3.2
256,-46,-67,0.8,3.2
257,-46,-69,0.8,3.2
258,-36,-68,0.8,3.2
259,-36,-67,0.8,3.2
260,-46,-67,0.8,3.2
261,-46,-67,0.8,3.2
262,-36,-67,0.8,3.2
263,-36,-75,0.8,3.2
264,-47,-68,0.8,3.2
265,-36,-68,0.8,3.2
266,-36,-75,0.8,3.2
267,-36,-67,0.8,3.2
268,-36,-67,0.8,3.2
269,-36,-69,0.8,3.2
270,-36,-68,0.8,3.2
271,-36,-75,0.8,3.2
272,-47,-68,0.8,3.2
273,-36,-68,0.8,3.2
274,-36,-77,0.8,3.2
275,-36,-69,0.8,3.2
276,-36,-69,0.8,3.2
277,-36,-75,0.8,3.2
278,-36,-67,0.8,3.2
279,-36,-68,0.8,3.2
280,-36,-75,0.8,3.2
281,-36,-75,0.8,3.2
282,-36,-67,0.8,3.2
283,-36,-67,0.8,3.2
284,-36,-76,0.8,3.2
285,-47,-67,0.8,3.2
286,-47,-67,0.8,3.2
287,-36,-67,0.8,3.2
288,-36,-67,0.8,3.2
289,-47,-67,0.8,3.2
290,-47,-77,0.8,3.2
291,-47,-68,0.8,3.2
292,-36,-68,0.8,3.2
293,-36,-67,0.8,3.2
294,-47,-67,0.8,3.2
295,-47,-68,0.8,3.2
296,-36,-68,0.8,3.2
297,-36,-67,0.8,3.2
298,-47,-67,0.8,3.2
299,-47,-66,0.8,3.2
300,-47,-66,0.8,3.2
301,-47,-67,0.8,3.2
302,-36,-67,0.8,3.2
303,-36,-66,0.8,3.2
304,-47,-66,0.8,3.2
305,-47,-66,0.8,3.2
306,-36,-66,0.8,3.2
307,-36,-67,0.8,3.2
308,-47,-67,0.8,3.2
309,-47,-77,0.8,3.2
310,-47,-66,0.8,3.2
311,-36,-66,0.8,3.2
312,-36,-77,0.8,3.2
313,-36,-77,0.8,3.2
314,-36,-66,0.8,3.2
315,-47,-66,0.8,3.2
316,-47,-67,0.8,3.2
317,-36,-67,0.8,3.2
318,-36,-77,0.8,3.2
319,-47,-77,0.8,3.2
320,-35,-67,0.8,3.2
321,-35,-67,0.8,3.2
322,-35,-77,0.8,3.2
323,-35,-67,0.8,3.2
324,-35,-67,0.8,3.2
325,-35,-76,0.8,3.2
326,-47,-77,0.8,3.2
327,-35,-66,0.8,3.2
328,-35,-66,0.8,3.2
329,-36,-66,0.8,3.2
330,-36,-68,0.8,3.2
331,-35,-68,0.8,3.2
332,-35,-77,0.8,3.2
333,-35,-77,0.8,3.2
334,-35,-76,0.8,3.2
335,-35,-77,0.8,3.2
336,-46,-66,0.8,3.2
337,-47,-66,0.8,3.2
338,-47,-68,0.8,3.2
339,-36,-68,0.8,3.2
340,-35,-76,0.8,3.2
341,-35,-68,0.8,3.2
342,-36,-68,0.8,3.2
343,-35,-76,0.8,3.2
344,-47,-76,0.8,3.2
345,-47,-77,0.8,3.2
346,-47,-67,0.8,3.2
347,-35,-67,0.8,3.2
348,-35,-66,0.8,3.2
349,-46,-66,0.8,3.2
350,-46,-67,0.8,3.2
351,-35,-67,0.8,3.2
352,-35,-68,0.8,3.2
353,-35,-68,0.8,3.2
354,-35,-77,0.8,3.2
355,-36,-76,0.8,3.2
356,-36,-67,0.8,3.2
